,City,Cloudines,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,Nara,75,JP,1553181217,100,34.68,135.8,65.26,2.1
273,Kalmunai,48,LK,1553181574,86,7.42,81.82,79.85,2.26
274,Touros,75,BR,1553176800,79,-5.2,-35.46,86.27,2.6
275,Husavik,0,CA,1553181348,69,50.56,-96.99,40.26,3.58
276,Kawalu,64,ID,1553181575,95,-7.38,108.21,69.05,0.71
277,Bejar,20,AL,1553181575,57,40.49,19.83,64.28,0.86
278,Georgetown,40,GY,1553176800,74,6.8,-58.16,84.47,6.2
279,Lang Son,0,VN,1553181575,92,21.83,106.73,69.5,1.21
280,Erzin,0,TR,1553181352,46,36.95,36.2,73.67,5.1
281,Poum,40,MK,1553178600,35,41.28,20.71,57.47,5.1
282,Adrar,0,DZ,1553176800,20,27.87,-0.29,73.67,3.6
283,Tuatapere,48,NZ,1553181006,91,-46.13,167.69,60.28,1.41
284,Manakara,80,MG,1553181576,82,-22.14,48.01,83.27,4.26
285,Waddan,0,LY,1553181576,28,29.16,16.14,78.77,2.61
286,Hamilton,75,BM,1553181121,72,32.3,-64.78,66.47,10.3
287,Valparaiso,90,US,1553181320,86,41.47,-87.06,39.47,3.6
288,Gat,0,SN,1553180400,48,14.69,-16.54,82.67,5.7
289,Hofn,20,IS,1553180400,80,64.25,-15.21,35.87,4.6
290,Sungairaya,24,ID,1553181576,77,0.7,108.9,79.22,2.06
291,Inhambane,12,MZ,1553181543,74,-23.87,35.38,84.08,4.91
292,Coahuayana,64,MX,1553181577,32,18.62,-100.35,72.47,1.31
293,Oksfjord,0,NO,1553178000,64,70.24,22.35,37.67,3.6
294,Souris,40,CA,1553181448,59,46.36,-62.25,40.26,5.7
295,Kodinsk,56,RU,1553181577,75,58.6,99.18,25.85,2.66
296,Sarangani,44,PH,1553181577,96,5.4,125.46,81.83,7.56
297,Nouadhibou,76,MR,1553180400,68,20.93,-17.03,71.87,7.2
298,Hualmay,20,PE,1553181578,77,-11.1,-77.61,74.99,1.96
299,Houston,1,US,1553181512,45,29.76,-95.37,67.26,2.1
300,Boly,0,HU,1553180400,26,45.97,18.52,57.47,2.1
301,Vostok,76,RU,1553181638,72,46.45,135.83,19.19,1.36
302,Luau,24,CD,1553181638,61,-10.7,22.23,82.55,1.21
303,Comodoro Rivadavia,44,AR,1553181562,77,-45.87,-67.48,60.95,2.26
304,Galdar,20,ES,1553181633,60,28.15,-15.65,73.27,11.8
305,Aranos,0,NA,1553181638,9,-24.14,19.11,97.4,1.41
306,Along,92,IN,1553181639,96,28.17,94.8,53.12,0.61
307,Aborlan,0,PH,1553181639,100,9.44,118.55,79.85,2.86
308,Huarmey,8,PE,1553181639,63,-10.07,-78.15,77.15,1.66
309,Galle,1,US,1553181637,55,29.74,-97.91,65.26,2.1
310,Port Lincoln,0,AU,1553181639,99,-34.72,135.86,63.65,5.56
311,Kristianstad,75,SE,1553181621,87,56.03,14.16,52.27,6.2
312,Beringovskiy,8,RU,1553181639,80,63.05,179.32,-4.39,5.01
313,Taketa,100,JP,1553181423,91,32.97,131.38,57.27,1.61
314,Nuuk,75,GL,1553179800,54,64.17,-51.74,3.47,3.6
315,Sampit,36,ID,1553181640,95,-2.54,112.95,74.18,0.96
316,Tarko-Sale,88,RU,1553181371,87,64.92,77.78,30.27,3.96
317,Livny,88,RU,1553181640,94,52.43,37.61,33.59,2.21
318,Shingu,88,JP,1553181640,90,33.72,135.99,65.36,5.21
319,Katsuura,75,JP,1553181449,100,33.93,134.5,60.28,1.5
320,Marinette,90,US,1553181304,100,45.1,-87.63,39.27,2.6
321,Richards Bay,100,ZA,1553181641,88,-28.77,32.06,75.08,4.46
322,Pitimbu,75,BR,1553176800,59,-7.47,-34.81,89.87,5.1
323,Shenjiamen,92,CN,1553181641,99,29.96,122.3,52.58,8.56
324,Angoram,48,PG,1553181641,99,-4.06,144.07,75.8,0.51
325,Aswan,0,EG,1553176800,7,24.09,32.9,93.47,4.1
326,Tambovka,32,UA,1553181641,48,46.93,35.45,49.43,5.36
327,Santa Cruz,1,US,1553181626,93,36.97,-122.03,48.27,0.96
328,Oloron-Sainte-Marie,0,FR,1553181599,58,43.19,-0.61,65.26,1.5
329,Ostrowiec Swietokrzyski,75,PL,1553181625,57,50.93,21.39,56.26,6.2
330,Buenavista,75,CO,1553180400,88,4.36,-75.74,73.67,3.6
331,Isangel,68,VU,1553181645,98,-19.55,169.27,82.73,5.81
332,Pechenga,88,RU,1553181645,93,58.89,41.46,33.23,4.01
333,Brewster,75,US,1553181628,65,41.76,-70.08,49.26,7.7
334,Lekoni,8,GA,1553181645,89,-1.58,14.26,85.16,2.06
335,Fortuna,20,ES,1553181624,31,38.18,-1.13,64.67,3.6
336,Mount Isa,12,AU,1553178600,45,-20.73,139.49,82.67,2.6
337,Te Anau,76,NZ,1553181646,88,-45.41,167.72,53.12,1.06
338,Boguchany,80,RU,1553181646,73,58.38,97.46,26.39,2.86
339,Dalbandin,0,PK,1553181646,26,28.9,64.41,63.47,1.21
340,Santa Rosalia,40,IT,1553181639,67,38.07,13.27,65.26,6.7
341,Aykhal,20,RU,1553181646,71,65.95,111.51,7.67,4.41
342,Broome,75,GB,1553181644,72,52.47,1.45,61.27,2.1
343,Leningradskiy,24,RU,1553181647,41,69.38,178.42,-12.67,4.36
344,Lexington,90,US,1553181621,81,38.05,-84.5,49.26,4.6
345,Victor Harbor,20,AU,1553181616,77,-35.55,138.62,67.26,4.6
346,Vardo,90,US,1553181643,86,39.62,-77.74,43.07,4.1
347,Sao Geraldo do Araguaia,12,BR,1553181647,73,-6.4,-48.55,87.23,3.56
348,Hokitika,44,NZ,1553181648,100,-42.72,170.96,61.85,0.21
349,Broken Hill,0,AU,1553176800,22,-31.97,141.45,80.87,4.6
350,Mantua,0,IT,1553181600,26,45.16,10.79,61.27,2.1
351,Lanzhou,0,CN,1553176800,21,36.06,103.82,35.87,2.0
352,Puerto Escondido,0,MX,1553181708,100,15.86,-97.07,81.74,0.51
353,Bloomfield,1,US,1553181335,86,40.75,-92.42,41.27,5.1
354,Katima Mulilo,20,NA,1553181708,22,-17.5,24.28,95.15,3.76
355,Chuy,68,UY,1553181709,97,-33.69,-53.46,65.54,4.16
356,Ust-Tsilma,32,RU,1553181709,73,65.44,52.15,26.39,2.31
357,Yanji,76,CN,1553181709,74,42.89,129.5,23.87,4.56
358,Kamenka,80,RU,1553181709,98,53.19,44.05,32.33,1.66
359,Ati,12,TD,1553181709,11,13.21,18.34,106.67,3.21
360,Westonaria,8,ZA,1553181438,20,-26.32,27.65,88.07,2.1
361,Olavarria,0,AR,1553181710,65,-36.89,-60.32,63.56,2.91
362,Lahr,0,DE,1553181693,31,48.34,7.87,62.87,6.2
363,Sola,40,NO,1553181604,87,58.89,5.65,46.67,6.2
364,Dickinson,1,US,1553181591,66,46.88,-102.79,35.28,4.1
365,Altamira,44,BR,1553181603,81,-3.2,-52.21,85.52,1.96
366,Lamu,48,ID,1553181710,100,0.57,122.3,75.8,1.41
367,Hammerfest,0,NO,1553178000,59,70.66,23.68,37.67,4.1
368,Saint-Augustin,0,FR,1553181333,31,44.83,-0.61,66.27,2.6
369,Ibra,0,OM,1553181711,46,22.69,58.55,74.72,2.06
370,Sioux Lookout,40,CA,1553180400,74,50.1,-91.92,35.87,6.7
371,Tucurui,92,BR,1553181711,85,-3.77,-49.67,81.02,1.36
372,San Borja,92,BO,1553181711,80,-14.86,-66.75,73.19,2.21
373,Kano,20,NG,1553180400,19,11.99,8.53,106.07,3.1
374,Lidkoping,75,SE,1553181608,93,58.51,13.16,50.27,8.2
375,Havelock,90,US,1553181684,81,34.88,-76.9,57.47,8.7
376,Feijo,40,EC,1553176800,83,-3.63,-79.92,89.87,1.5
377,Mayor Pablo Lagerenza,92,PY,1553181712,90,-19.93,-60.77,67.7,7.06
378,Yakeshi,76,CN,1553181675,56,49.28,120.73,14.6,1.31
379,San Isidro,0,PH,1553181713,84,16.74,121.63,68.96,1.61
380,Syracuse,1,US,1553181554,75,43.05,-76.15,44.28,2.6
381,Dunmore Town,64,BS,1553181713,100,25.5,-76.65,73.73,3.66
382,Madaoua,8,NE,1553181713,14,14.07,5.96,105.05,2.51
383,Harda,0,IN,1553181714,26,22.34,77.09,79.22,3.26
384,Geraldton,90,CA,1553180400,69,49.72,-86.95,35.87,6.2
385,Xichang,0,CN,1553181714,20,27.88,102.25,57.98,1.51
386,Viedma,24,AR,1553181609,53,-40.81,-62.99,66.17,5.76
387,Welkom,0,ZA,1553181348,29,-27.98,26.74,87.28,4.31
388,Starobaltachevo,92,RU,1553181714,95,56.0,55.92,34.13,1.31
389,Severo-Kurilsk,64,RU,1553181714,100,50.68,156.12,21.98,3.41
390,Paamiut,56,GL,1553181714,100,61.99,-49.67,16.49,6.36
391,Karoi,0,ZW,1553181714,20,-16.82,29.68,89.3,4.36
392,Laguna,0,MX,1553181715,44,27.52,-110.01,61.22,1.66
393,Zlobin,0,HR,1553181666,29,45.29,14.65,61.07,5.7
394,Aknada,0,RU,1553181715,76,43.38,46.91,48.35,0.96
395,Marienburg,20,DE,1553181616,62,52.12,9.98,61.27,4.1
396,Nemuro,80,JP,1553181715,77,43.32,145.57,39.8,13.71
397,San Pedro,0,AR,1553181174,42,-33.68,-59.66,69.28,0.45
398,Foso,88,GH,1553181718,97,5.7,-1.29,79.4,2.31
399,Zhezkazgan,0,KZ,1553181718,70,47.8,67.71,29.09,2.01
400,Obo,12,CF,1553181778,50,5.39,26.49,92.63,3.91
401,Katobu,44,ID,1553181778,99,-4.94,122.53,81.38,1.31
402,Salalah,0,OM,1553176200,61,17.01,54.1,80.87,5.1
403,Mindelo,0,PT,1553181663,34,41.31,-8.72,70.27,2.6
404,Alta Floresta,32,BR,1553181779,73,-9.87,-56.08,86.69,1.61
405,Quatre Cocos,40,MU,1553181541,78,-20.21,57.76,82.67,3.6
406,Sinjai,12,ID,1553181487,100,-5.12,120.25,74.99,1.36
407,Bahile,0,PH,1553181779,100,10.0,118.79,80.12,3.41
408,Aiquile,48,BO,1553181779,92,-18.2,-65.18,57.08,1.46
409,Tautira,64,PF,1553181184,83,-17.73,-149.15,80.87,4.1
410,Tornio,0,FI,1553181678,65,61.12,27.27,43.07,4.6
411,Havre-Saint-Pierre,90,CA,1553180400,68,50.23,-63.6,25.07,6.7
412,Roald,0,NO,1553181603,80,62.58,6.12,46.67,3.1
413,Launceston,90,AU,1553181662,93,-41.43,147.14,62.28,5.1
414,Voskresenskoye,44,RU,1553181780,91,56.84,45.43,33.77,1.66
415,Moindou,0,NC,1553178600,83,-21.69,165.68,73.67,1.71
416,Tibati,48,CM,1553181666,29,6.47,12.63,94.61,2.41
417,La Rioja,20,AR,1553181780,98,-29.41,-66.86,63.2,2.01
418,Presidente Epitacio,92,BR,1553181781,99,-21.76,-52.12,73.91,3.66
419,Namie,56,JP,1553181674,72,37.52,140.86,58.26,0.89
420,Chingirlau,80,KZ,1553181781,97,51.09,54.08,33.05,1.36
421,Narsaq,75,GL,1553179800,61,60.91,-46.05,17.87,8.2
422,Mananjary,76,MG,1553181781,98,-19.16,46.8,64.19,0.96
423,Ust-Kan,0,RU,1553181781,65,50.93,84.77,9.83,0.81
424,North Bend,40,US,1553181630,100,43.41,-124.22,50.27,2.1
425,Pirovskoye,12,RU,1553181782,80,57.63,92.27,24.41,3.26
426,Albac,0,RO,1553180400,30,46.45,22.96,54.27,4.1
427,Lakes Entrance,12,AU,1553181635,94,-37.88,147.99,66.27,0.45
428,Yarada,20,IN,1553178600,69,17.65,83.27,82.67,2.1
429,Verkhnevilyuysk,24,RU,1553181782,54,63.45,120.31,-4.75,2.21
430,Phayakkhaphum Phisai,40,TH,1553176800,49,15.52,103.19,91.67,4.1
431,Bani Walid,92,LY,1553181782,42,31.76,14.0,63.38,4.11
432,Beyneu,80,KZ,1553181783,64,45.32,55.19,53.12,2.81
433,Beatrice,1,US,1553181650,86,40.27,-96.75,40.26,2.1
434,Anadyr,0,RU,1553181189,75,64.73,177.51,-18.13,2.0
435,Sao Miguel do Araguaia,76,BR,1553181554,100,-13.28,-50.16,84.35,2.26
436,Pierre,1,US,1553181492,100,44.37,-100.35,32.27,3.1
437,Mopipi,12,BW,1553181783,15,-21.2,24.86,99.38,2.11
438,Seguela,20,CI,1553181784,49,7.96,-6.67,96.32,2.06
439,Rocha,0,UY,1553181716,62,-34.48,-54.34,67.52,2.66
440,Coruripe,20,BR,1553181784,100,-10.12,-36.18,82.1,1.51
441,Saint-Louis,0,CH,1553181750,33,47.59,7.56,63.27,1.5
442,Kununurra,12,AU,1553178600,66,-15.77,128.74,88.07,3.6
443,Codrington,90,AU,1553181593,94,-28.95,153.24,72.27,1.16
444,Schitu-Golesti,48,RO,1553181703,23,45.2,25.0,54.27,1.66
445,Imaculada,12,BR,1553181785,78,-7.39,-37.51,84.98,2.21
446,Charyshskoye,0,RU,1553181785,65,51.4,83.56,15.95,1.16
447,La Libertad,0,PE,1553180400,24,-16.38,-71.56,68.27,3.6
448,Bar Harbor,75,US,1553181625,60,44.39,-68.2,46.27,7.2
449,Bestobe,0,KZ,1553181786,81,52.5,73.1,24.32,4.11
450,Katete,20,UG,1553181846,75,-0.78,29.75,77.78,1.26
451,Fereydun Kenar,75,IR,1553176800,76,36.69,52.52,53.87,2.1
452,Alofi,100,NU,1553176800,88,-19.06,-169.92,75.47,1.5
453,Narimanov,0,RU,1553178600,28,46.69,47.85,57.27,2.0
454,Simpang,75,MY,1553180400,94,4.82,100.71,79.07,1.0
455,Ambon,90,FR,1553181801,71,47.55,-2.56,63.27,4.1
456,Oistins,75,BB,1553176800,65,13.07,-59.53,80.87,6.2
457,Antofagasta,0,CL,1553176800,60,-23.65,-70.4,68.27,3.6
458,Baykit,80,RU,1553181847,78,61.68,96.39,25.85,4.91
459,Amapa,75,HN,1553180400,73,15.09,-87.97,77.27,1.0
460,Miri,12,NG,1553181847,31,10.31,9.75,97.4,2.06
461,Salta,90,AR,1553176800,82,-24.79,-65.41,55.67,2.6
462,Teofilo Otoni,88,BR,1553181847,81,-17.86,-41.51,79.22,3.66
463,Muscat,75,OM,1553176200,65,23.6,58.55,77.27,6.2
464,Kalevala,32,FI,1553181848,71,64.12,29.58,35.12,3.41
465,Mapastepec,0,MX,1553181848,49,15.44,-92.9,82.19,1.16
466,Orbetello,0,IT,1553181608,34,42.44,11.21,68.27,7.2
467,Dongsheng,92,CN,1553181848,86,29.72,112.52,46.28,8.41
468,Saint-Pierre,0,FR,1553181724,42,48.95,4.24,62.87,6.7
469,Pushkinskiye Gory,76,RU,1553181849,69,57.02,28.91,47.72,5.71
470,Cameron Park,1,US,1553181847,100,38.68,-120.99,47.26,1.5
471,Hambantota,20,LK,1553177400,94,6.12,81.12,80.87,1.5
472,Huangzhai,92,CN,1553181850,98,23.86,112.01,67.34,1.21
473,Lulea,40,SE,1553178000,78,65.58,22.15,37.67,2.1
474,Hit,0,IQ,1553181850,25,33.64,42.83,68.69,1.81
475,Kyabe,0,TD,1553181850,13,9.45,18.94,105.5,2.96
476,Porosozero,8,RU,1553181850,70,62.72,32.71,33.77,2.66
477,Tongzi,68,CN,1553181850,65,28.78,105.09,59.06,3.86
478,Maragogi,36,BR,1553181692,77,-9.01,-35.22,88.94,2.41
479,Bilibino,56,RU,1553181851,46,68.06,166.44,-16.18,1.06
480,Snezhnogorsk,75,RU,1553178600,76,69.19,33.23,32.27,2.0
481,Arlit,0,NE,1553181851,29,18.74,7.39,89.48,3.46
482,Ilo,0,PE,1553176800,73,-17.65,-71.34,71.87,2.1
483,Goba,56,ET,1553181851,25,7.01,39.97,74.9,3.11
484,Saint-Joseph,0,FR,1553181657,31,43.56,6.97,66.47,3.1
485,Egvekinot,0,RU,1553181852,39,66.32,-179.17,-26.44,1.06
486,Mandiana,64,GN,1553181852,47,10.62,-8.7,95.69,1.86
487,Northfield,1,US,1553181772,86,44.46,-93.16,39.47,3.1
488,Moron,48,VE,1553181853,73,10.49,-68.2,78.14,1.51
489,Tokur,48,RU,1553181853,57,53.13,132.9,0.83,1.31
490,Kimbe,80,PG,1553181853,100,-5.56,150.15,78.5,0.51
491,Bogande,0,BF,1553181853,17,12.97,-0.14,103.07,2.51
492,Pochutla,40,MX,1553181381,74,15.74,-96.47,86.27,0.86
493,Atambua,0,ID,1553181853,100,-9.11,124.89,79.13,1.31
494,Sogne,20,NO,1553181605,58,58.08,7.82,57.47,4.6
495,Caravelas,92,BR,1553181854,100,-17.73,-39.27,78.41,3.41
496,Hami,0,CN,1553181854,54,42.84,93.51,36.83,3.56
497,Maniitsoq,32,GL,1553181854,100,65.42,-52.9,-3.67,2.26
498,Kaeo,68,NZ,1553180885,95,-35.1,173.78,61.27,3.26
499,Acajutla,0,SV,1553181623,59,13.59,-89.83,78.28,2.68
500,Belle Glade,90,US,1553181845,73,26.68,-80.67,74.26,4.1
501,Namatanai,64,PG,1553181915,96,-3.66,152.44,83.72,3.26
502,Zanjan,40,IR,1553180400,74,36.67,48.48,37.67,3.1
503,Kitui,12,KE,1553181915,43,-1.37,38.02,83.63,4.31
504,Vitim,68,RU,1553181915,78,59.44,112.57,12.17,1.01
505,Biak,92,ID,1553181915,78,-0.91,122.88,83.9,1.61
506,Requena,20,ES,1553181851,44,39.49,-1.1,62.28,7.2
507,Port-Gentil,20,GA,1553180400,74,-0.72,8.78,88.07,4.1
508,Aklavik,90,CA,1553180400,78,68.22,-135.01,19.67,7.7
509,Nabire,88,ID,1553181916,95,-3.36,135.5,68.87,0.81
510,Ratnagiri,0,IN,1553181720,100,16.98,73.3,78.5,4.91
511,Jining,76,CN,1553181916,40,35.41,116.58,43.4,4.46
512,Gonen,0,IL,1553181361,49,33.12,35.65,68.27,3.6
513,Sibolga,80,ID,1553181760,100,1.74,98.78,68.96,0.61
514,Wewak,48,PG,1553181916,98,-3.55,143.63,76.52,1.81
515,Kultuk,76,RU,1553181410,38,51.73,103.71,24.28,1.06
516,Yulara,0,AU,1553176800,20,-25.24,130.99,86.27,3.1
517,Campobasso,0,IT,1553181613,47,41.56,14.66,71.28,4.47
518,Cravo Norte,12,CO,1553181917,36,6.3,-70.2,95.87,5.91
519,Sorland,40,NO,1553179800,44,67.67,12.69,37.67,16.5
520,Jamkhandi,0,IN,1553181917,37,16.52,75.3,78.95,3.86
521,Bafq,92,IR,1553181917,14,31.6,55.4,58.43,2.21
522,Dombarovskiy,0,RU,1553181917,91,50.76,59.54,25.76,0.71
523,Nuevo Laredo,90,US,1553181607,72,27.49,-99.5,66.47,2.1
524,Klyuchi,0,RU,1553181917,82,52.25,79.17,19.19,2.06
525,Inskoy,0,RU,1553181917,64,54.43,86.44,8.84,1.21
526,Sao Filipe,44,CV,1553181918,92,14.9,-24.5,72.2,6.61
527,Goure,0,NE,1553181918,14,13.98,10.27,105.68,2.21
528,Buraydah,0,SA,1553180400,30,26.33,43.97,80.87,5.1
529,Okha,24,RU,1553181918,87,53.59,142.95,-9.7,1.46
530,Dicabisagan,44,PH,1553181918,100,17.08,122.42,69.77,2.71
531,Alyangula,20,AU,1553176800,94,-13.85,136.42,79.07,7.36
532,Mirnyy,12,RU,1553181918,85,56.57,36.46,35.57,4.16
533,Samarai,64,PG,1553181919,100,-10.62,150.67,81.83,5.31
534,Berehove,0,UA,1553181631,32,48.21,22.65,57.47,1.5
535,Teknaf,0,BD,1553181919,75,20.86,92.31,74.0,1.51
536,Casper,1,US,1553181505,80,42.87,-106.31,39.27,1.16
537,Brae,20,GB,1553179800,57,60.4,-1.35,48.47,9.3
538,Hoquiam,90,US,1553181906,81,46.98,-123.89,52.07,2.6
539,Port Moresby,75,PG,1553176800,88,-9.47,147.16,79.07,2.6
540,Haines Junction,32,CA,1553181919,83,60.75,-137.51,21.62,0.91
541,Shumikha,20,RU,1553181920,74,55.23,63.28,23.87,2.41
542,The Valley,20,AI,1553181377,65,18.22,-63.06,83.26,4.6
543,Lavrentiya,44,RU,1553181920,92,65.58,-170.99,1.1,13.31
544,Quisqueya,20,DO,1553179996,83,18.55,-69.41,84.27,2.1
545,Komsomolskiy,88,RU,1553181920,94,67.55,63.78,28.28,4.41
546,Bauchi,12,NG,1553181920,31,10.31,9.85,97.4,2.06
